       sourse  shift_x_81  shift_y_81  shift_x_84  shift_y_84  shift_x_121  shift_y_121
0    0003-066           0           0           0           0           -1            0
1    0003+380           0           0           0           0            0            0
2    0003+380           0           0           0           0            0            0
3    0007+106           0           0           0           0            0            0
4    0010+405           0           0           0           0            0            0
5    0010+405           0           0           0          -1            0            0
6    0016+731           0           0           0           0            0            0
7    0048-097           0           0           0           0            0            0
8    0055+300           1           1           1           1            0            0
9    0059+581           0           0           0           0            0            0
10   0106+013           0           0           0           0            0            0
11   0109+224           0           0           0           0            0            0
12   0111+021           1           2           0           0            0            0
13   0111+021           0           0           0           0            0            0
14   0119+115           0           0           0           0            0            0
15   0133+476           0           0           0           0            0            0
16   0149+218           0           0           0           0            0            0
17   0202+149           1           1           1           1            1            0
18   0202+319           0           0           0           0            0            0
19   0212+735           0           1           0           1            0            1
20   0215+015           0           0           0           0            0            0
21   0215+015           1           1           0           0            0            0
22   0219+428           0           0           0           0            0            0
23   0219+428           0           0           0           0            0            0
24   0224+671           0           0           0           0            0            0
25   0234+285           0           0           0           0            0            0
26   0235+164           0           0           0           0            0            0
27   0238-084           0           0           0           0           -1            3
28   0238-084           0           0           0           2            0            0
29   0241+622           3           4           2           2            1            1
30   0300+470           0           0           0           0            0            0
31   0305+039           0           0           0           0            0            0
32   0309+411           0           0           0           0            0            0
33   0316+413          -2           2          -1           2            1           -1
34   0333+321           0           0           0           0            0            0
35   0336-019           0           0           0           0            0            0
36   0403-132           0           0           0           0            0            0
37   0414-189           0           0           0           0            0            0
38   0415+379           0           1           0           0            0            0
39   0420-014           0           0           0           0            0            0
40   0422+004           0           0           0           0            0            0
41   0429+415           0           0           0           0           -1            1
42   0430+052           0           0           0           0            0            0
43   0430+289           0           0           0           0            0            0
44   0430+289          -1           1          -1           1            0            1
45   0440-003          -4           5          -1           1            0            0
46   0446+112           0           0           0           0            0            0
47   0454+844           0           0           0           0            0            0
48   0458-020           0           0           0           0            0            0
49   0528+134           0           0           0           0            0            0
50   0529+075           0           0          -1          -2            0            0
51   0529+483           0           0           0           0            0            0
52   0552+398           0           0           0           0            0            0
53   0605-085           0           0           0           0            0            0
54   0607-157           0           0           0           0            0            0
55   0642+449           0          -1           0          -1            0           -1
56   0648-165          -2           0          -2           0           -1            0
57   0707+476           0           0           0           0            0            0
