       sourse  shift_dec_81  shift_ra_81  shift_dec_84  shift_ra_84  shift_dec_121  shift_ra_121
0    0003-066      0.009808    -0.005350      0.003877     0.003128      -0.027430     -0.001436
1    0003+380      0.006971     0.005254      0.003914     0.007574       0.003226      0.028791
2    0003+380      0.043756    -0.009321      0.044347     0.028866      -0.021511      0.035609
3    0007+106     -0.020030     0.003897     -0.017767     0.004838      -0.022104      0.027632
4    0010+405      0.000653     0.000133      0.042566    -0.032365      -0.005506      0.005158
5    0010+405      0.068096    -0.064166      0.024930     0.029274       0.008232     -0.044105
6    0016+731     -0.002248     0.002785     -0.002290     0.003096      -0.000279      0.002238
7    0048-097      0.005248    -0.001903      0.003227    -0.001016      -0.002310      0.000623
8    0055+300      0.053679    -0.060140      0.040032    -0.048724      -0.014431      0.011767
9    0059+581     -0.004970    -0.005654     -0.003821    -0.003505      -0.001317      0.000444
10   0106+013     -0.109160    -0.185082     -0.125446    -0.181861      -0.024601     -0.067310
11   0109+224      0.002022     0.002986      0.002857     0.003043       0.001787      0.006106
12   0111+021     -0.033602     0.020731     -0.036205     0.085583      -0.032131      0.039656
13   0111+021     -0.044962     0.073816     -0.033597     0.056404       0.004747      0.005940
14   0119+115     -0.010364     0.001127     -0.027151    -0.000362      -0.011763     -0.002564
15   0133+476      0.005119    -0.004131      0.002426    -0.007843       0.004356     -0.004088
16   0149+218     -0.007684    -0.002783     -0.022485     0.001466       0.006250      0.000173
17   0202+149      0.002090    -0.047499      0.014757    -0.043391       0.028065      0.028808
18   0202+319     -0.002498     0.001463     -0.002947    -0.000333      -0.002428     -0.000825
19   0212+735      0.007997    -0.091823      0.014411    -0.103467       0.006350     -0.055148
20   0215+015     -0.001277    -0.000937      0.001131    -0.002705      -0.003113     -0.001564
21   0215+015      0.037636    -0.042204     -0.048037     0.044449      -0.009818      0.008275
22   0219+428     -0.002310     0.004390     -0.008834     0.000365      -0.003661      0.001193
23   0219+428     -0.010317    -0.000173     -0.010233     0.001396      -0.004278      0.002271
24   0224+671      0.054997    -0.000769      0.062257     0.004443      -0.004070     -0.002698
25   0234+285      0.014807    -0.012100      0.000184    -0.008431      -0.000499     -0.004597
26   0235+164     -0.000528     0.000544     -0.002499     0.000556      -0.006757     -0.000743
27   0238-084     -0.073858     0.011376     -0.098453    -0.085890      -0.058517      0.014887
28   0238-084      0.224818     0.565617      0.057694    -0.068433      -0.030118      0.032708
29   0241+622     -0.086096     0.174104     -0.056092     0.095988       0.022548     -0.057522
30   0300+470     -0.018488     0.016526     -0.013268     0.016269      -0.004490      0.001417
31   0305+039     -0.003152     0.007258     -0.005189    -0.004996       0.022305      0.031184
32   0309+411      0.000981    -0.000324      0.000459    -0.001304      -0.002822      0.002285
33   0316+413     -0.038951    -0.034482      0.051753    -0.037007       0.006125     -0.022103
34   0333+321     -0.007023     0.026978      0.002706     0.011106      -0.011253      0.002272
35   0336-019     -0.003531     0.019604      0.012535     0.022220      -0.014725      0.012301
36   0403-132     -0.001146     0.003915      0.014037     0.004382      -0.002576      0.000645
37   0414-189     -0.001096    -0.002793      0.001903    -0.002518      -0.002728     -0.000602
38   0415+379      0.009331    -0.070248      0.004605     0.018164       0.004287      0.010361
39   0420-014     -0.014023    -0.001660      0.035686     0.001074      -0.008635      0.001697
40   0422+004     -0.024437     0.009573     -0.038664     0.008423      -0.032760      0.007443
41   0429+415     -0.000129    -0.010614      0.022687    -0.008844       0.063184     -0.015751
42   0430+052     -0.076814    -0.112266     -0.051172    -0.080307      -0.021285     -0.028739
43   0430+289      0.005326     0.003299     -0.000479     0.002003       0.000327     -0.000785
44   0430+289     -0.001610     0.005930     -0.003036     0.004880      -0.008991     -0.022461
45   0440-003     -0.314760    -0.429775     -0.361652    -0.454670      -0.250598     -0.375353
46   0446+112     -0.003747     0.011129     -0.001327     0.007795       0.000303      0.000758
47   0454+844      0.021182    -0.005507      0.024223     0.003414       0.013210      0.001295
48   0458-020     -0.002847    -0.000358     -0.003107    -0.001604       0.000145     -0.000753
49   0528+134      0.004190     0.022974      0.002654     0.020379       0.000432      0.011826
50   0529+075     -0.008540     0.000183      0.053954     0.011323       0.008489     -0.021071
51   0529+483     -0.003527    -0.000353     -0.003869     0.000409      -0.002074     -0.000483
52   0552+398     -0.001003    -0.003671     -0.004346     0.005687       0.008781     -0.030201
53   0605-085     -0.001526     0.003422      0.000494     0.000496       0.003936     -0.000435
54   0607-157     -0.006340     0.011813     -0.001157     0.011357      -0.009149      0.009662
55   0642+449      0.000645     0.053742     -0.001377     0.050454      -0.001394      0.040329
