1	0003-066	2006-07-07	-82.1	-60.3	0.035	0.033	-25.8	0.019	0.011	-62.5	0.015	0.014
2	0003+380	2006-03-09	117.0	77.2	0.134	0.103	79.6	0.139	0.110	77.2	0.124	0.095
3	0003+380	2006-12-01	116.2	115.5	0.063	0.063	121.7	0.106	0.106	103.0	0.046	0.044
4	0007+106	2006-06-15	-67.6	-88.5	0.008	0.007	-20.1	0.011	0.007	146.2	0.008	-0.007
5	0010+405	2006-04-05	-31.8	-38.3	0.013	0.013	64.7	0.008	-0.001	- 	    -       -
6	0010+405	2006-12-01	-32.6	-0.3	0.005	0.004	39.1	0.005	0.001	-89.9	0.010	0.006
7	0055+300	2006-02-12	-50.1	-45.2	0.179	0.179	-10.2	0.083	0.064	-61.5	0.053	0.052
8	0106+013	2006-07-07	-125.2	-113.7	0.005	0.005	-139.2	0.005	0.005	20.2	0.002	-0.001
9	0109+224	2006-05-24	85.1	65.3	0.147	0.138	91.6	0.073	0.072	75.8	0.120	0.118
10	0111+021	2006-03-09	129.8	114.4	0.137	0.132	158.1	0.174	0.154	140.4	0.087	0.086
11	0119+115	2006-06-15	3.7	    -1.0	0.347	0.346	-0.7	0.300	0.299	-17.0	0.221	0.207
12	0133+476	2006-08-09	-34.7	-22.4	0.131	0.128	-22.1	0.068	0.066	-93.4	0.025	0.013
13	0149+218	2006-02-12	-13.9	-7.3	0.168	0.167	-5.4	0.223	0.221	-23.3	0.107	0.106
14	0202+149	2006-09-06	-41.5	3.0	    0.122	0.087	-24.4	0.110	0.105	-20.2	0.164	0.153
15	0202+319	2006-08-09	-7.9	158.2	0.013	-0.012	96.9	0.003	-0.001	-       -       - 
16	0212+735	2006-07-07	114.8	108.0	0.149	0.148	112.9	0.138	0.137	79.2	0.054	0.044
17	0215+015	2006-04-28	105.7	89.3	0.088	0.084	127.0	0.147	0.137	-143.6	0.003	-0.001
18	0215+015	2006-12-01	114.5	76.6	0.241	0.190	106.4	0.167	0.165	95.2	0.059	0.056
19	0219+428	2006-04-05	-173.2	-170.7	0.080	0.080	-159.0	0.076	0.073	-154.0	0.031	0.029
20	0219+428	2006-11-10	-172.9	179.5	0.173	0.171	175.4	0.128	0.125	179.1	0.179	0.177
21	0224+671	2006-10-06	8.2	    20.9	0.134	0.131	19.9	0.143	0.140	-0.9	0.125	0.124
22	0234+285	2006-09-06	-10.1	1.7	    0.275	0.269	29.6	0.218	0.168	1.4	    0.171	0.167
23	0235+164	2006-06-15	-15.2	18.7	0.004	0.003	-0.8	0.007	0.006	-       -       - 	 	 
24	0241+622	2006-04-05	125.3	123.6	0.525	0.524	136.9	0.449	0.440	-       -       - 	 	 
