      sourse  core_shift_dec_81  core_shift_ra_81  core_shift_dec_84  core_shift_ra_84  core_shift_dec_121  core_shift_ra_121  img_shift_dec_81  img_shift_ra_81  img_shift_dec_84  img_shift_ra_84  img_shift_dec_121  img_shift_ra_121  core_loc_dec_81  core_loc_ra_81  core_loc_dec_84  core_loc_ra_84  core_loc_dec_121  core_loc_ra_121  core_loc_dec_154  core_loc_ra_154
0   0149+218           0.236447         -0.060803           0.099457         -0.006772            0.000489          -0.130954          0.243850        -0.057835          0.120394        -0.007406          -0.005683         -0.130995         0.010813       -0.003257        -0.002721        0.000346          0.024388        -0.000247          0.018215        -0.000288
1   0219+428           0.021053         -0.058646           0.021732         -0.048775            0.018846          -0.090354          0.023203        -0.062946          0.030701        -0.049193           0.022241         -0.091640        -0.013440        0.001242        -0.020258       -0.002640         -0.014684        -0.001772         -0.011290        -0.003058
2   0219+428          -0.118449         -0.088711          -0.036197         -0.057953            0.020073          -0.041186         -0.108640        -0.088484         -0.022934        -0.059445           0.023960         -0.043351        -0.015295       -0.002000        -0.018749       -0.000280         -0.009372         0.000392         -0.005486        -0.001772
3   0430+052          -0.214228         -0.335608          -0.187385         -0.310883           -0.076115          -0.134561         -0.141002        -0.228828         -0.125394        -0.211283          -0.055881         -0.108478        -0.059705       -0.108075        -0.048469       -0.100895         -0.006712        -0.027378          0.013522        -0.001295
4   0738+313          -0.054822         -0.048028          -0.036828         -0.043811           -0.005149          -0.023731         -0.027816        -0.055168         -0.016507        -0.049842          -0.011438         -0.026517        -0.030640        0.005397        -0.023956        0.004288          0.002654         0.001043         -0.003635        -0.001743
5   0836+710           0.017177         -0.079983           0.091664         -0.026220            0.107613           0.012483          0.052442        -0.053855          0.122860        -0.012202           0.106553          0.009644        -0.035361       -0.029093        -0.031291       -0.016983          0.000965        -0.000126         -0.000095        -0.002965
6   1055+018          -0.077716          0.101515          -0.040973          0.077841            0.031724           0.057784         -0.069995         0.090550         -0.036156         0.065877           0.034445          0.043301         0.000221       -0.006369         0.003124       -0.005371          0.005220        -0.002851          0.007941        -0.017334
7   1127-145          -0.075023          0.046602          -0.067359          0.033839           -0.029540           0.037028         -0.085372        -0.015904         -0.068386        -0.031767          -0.029194         -0.018013        -0.000290       -0.003653        -0.009612       -0.000552         -0.010986        -0.011118         -0.010640        -0.066159
8   1148-001          -1.301833         -2.003811          -1.307985         -1.939582           -1.332259          -1.992590         -0.224772        -0.098802         -0.247785        -0.263574          -0.082480         -0.106388        -1.047109       -1.953014        -1.030248       -1.724013         -1.219827        -1.934207          0.029952        -0.048005
9   1226+023          -0.883372         -0.663131          -0.780921         -0.584880           -0.161385          -0.094357         -0.829383        -0.639841         -0.790747        -0.606522          -0.074021         -0.054712        -0.040792       -0.029954         0.023023        0.014977         -0.074167        -0.046311          0.013197        -0.006665
10  1226+023          -0.542668         -0.368849          -0.480918         -0.319433           -0.069322          -0.025906         -0.484765        -0.313703         -0.435378        -0.292906          -0.070202         -0.012083        -0.064539       -0.063516        -0.052176       -0.034896         -0.005757        -0.022193         -0.006637        -0.008369
11  1228+126          -0.012143         -0.032243           0.031652         -0.035755           -0.028957           0.103531         -0.013844        -0.036712          0.024235        -0.032379          -0.026022          0.101559         0.005565       -0.009777         0.011282       -0.017623          0.000930        -0.012274          0.003864        -0.014247
12  1508-055           0.117448         -0.005544           0.174179         -0.046142            0.193165           0.013156          0.115149        -0.006100          0.173749        -0.045094           0.189362          0.005016        -0.002466        0.003666        -0.004335        0.002061         -0.000962         0.011249         -0.004765         0.003109
13  1514-241          -0.055619         -0.045559           0.019683         -0.061152           -0.039633          -0.039929          0.007760        -0.044719          0.015938        -0.057452          -0.052955         -0.041853        -0.069216       -0.001399        -0.002093       -0.004259          0.007484         0.001365         -0.005838        -0.000559
14  1641+399          -0.028768         -0.045264          -0.023776         -0.024634           -0.010971           0.025175         -0.019771        -0.040505         -0.013286        -0.031313          -0.008540          0.029326        -0.006103       -0.006620        -0.007595        0.004818          0.000462        -0.006012          0.002894        -0.001861
15  1642+690           0.041847         -0.036478           0.043828         -0.023568            0.054901          -0.026181          0.069642        -0.042197          0.067367        -0.025691           0.058129         -0.028572        -0.030257        0.004457        -0.026002        0.000860         -0.005690         0.001128         -0.002462        -0.001263
